gate_id,gate_group,ddscore_dimension,decision_question,current_state,evidence_ref,evidence_type,observed_at,evidence_hash,owner,freshness_days,reason_code,next_artifact,reviewer_decision,reviewer_rationale
CSP-001,strategic_fit,Business Idea,Is there a named internal sponsor with authority to own the pilot outcome?,missing,,decision_owner,,,corporate_sponsor,90,evidence_missing,named sponsor and authority record,unreviewed,
CSP-002,strategic_fit,Business Idea,Does the opportunity map to a written strategic or transaction hypothesis?,missing,,strategy_record,,,corporate_venture_lead,180,evidence_missing,approved hypothesis and fit rationale,unreviewed,
CSP-003,problem_scope,Market,Is the target user or business unit and its current problem explicitly named?,missing,,problem_record,,,business_unit_owner,90,evidence_missing,current-state problem record,unreviewed,
CSP-004,problem_scope,Offering,Is the desired outcome tied to a measurable baseline and metric?,missing,,baseline_metric,,,pilot_owner,90,evidence_missing,baseline and outcome metric,unreviewed,
CSP-005,problem_scope,Offering,Is the pilot scope bounded with explicit exclusions and dependencies?,missing,,scope_record,,,pilot_owner,90,evidence_missing,pilot scope and exclusions,unreviewed,
CSP-006,evidence,Market,Is there current evidence from the intended user or business unit for the problem?,missing,,user_evidence,,,business_unit_owner,90,evidence_missing,target-unit evidence reference,unreviewed,
CSP-007,evidence,Offering,Is solution evidence separated from a polished demo or sales narrative?,missing,,solution_evidence,,,startup_owner,90,evidence_missing,testable solution evidence,unreviewed,
CSP-008,evidence,Presentation,Are conflicting observations retained with source identity and date?,missing,,conflict_log,,,evidence_owner,90,evidence_missing,conflicting-evidence record,unreviewed,
CSP-009,pilot_design,Offering,Does the pilot have a success threshold that can be compared with the baseline?,missing,,success_threshold,,,pilot_owner,90,evidence_missing,metric threshold and method,unreviewed,
CSP-010,pilot_design,Fundability,Does the pilot have a failure or stop rule before resources are committed?,missing,,stop_rule,,,decision_owner,90,evidence_missing,approved stop rule,unreviewed,
CSP-011,pilot_design,Fundability,Is the evaluation date and accountable human decision authority recorded?,missing,,decision_schedule,,,decision_owner,90,evidence_missing,decision date and authority,unreviewed,
CSP-012,integration,Technology & IP,Are required systems data interfaces and environments named?,missing,,integration_map,,,technical_owner,90,evidence_missing,integration dependency map,unreviewed,
CSP-013,integration,Technology & IP,Is there a technical owner for every external dependency and handoff?,missing,,ownership_map,,,technical_owner,90,evidence_missing,technical ownership record,unreviewed,
CSP-014,security_legal,Legal & Regulatory,Is data classification and the access boundary documented before the pilot?,missing,,data_boundary,,,security_owner,90,evidence_missing,data classification and access record,unreviewed,
CSP-015,security_legal,Legal & Regulatory,Are required security privacy legal and procurement reviews evidenced?,missing,,review_record,,,legal_security_owner,90,evidence_missing,review evidence and open actions,unreviewed,
CSP-016,economics,Financials,Are external cost internal effort and third-party dependencies estimated?,missing,,cost_record,,,finance_owner,90,evidence_missing,pilot cost and effort estimate,unreviewed,
CSP-017,economics,Scalability,Are the post-pilot commercial model and scaling assumptions explicit?,missing,,commercial_model,,,commercial_owner,180,evidence_missing,commercial and scaling assumptions,unreviewed,
CSP-018,scale_handoff,Scalability,Is an operational owner named for a successful post-pilot rollout?,missing,,operating_owner,,,business_unit_owner,90,evidence_missing,post-pilot operating ownership,unreviewed,
CSP-019,scale_handoff,Scalability,Are rollout evidence requirements and unresolved dependencies recorded?,missing,,rollout_gate,,,decision_owner,90,evidence_missing,rollout evidence checklist,unreviewed,
CSP-020,decision_record,Fundability,Does the final human decision cite the evidence state rationale and next action?,missing,,decision_record,,,decision_owner,90,evidence_missing,signed decision and next action,unreviewed,
